,id,osa_alue_id,osa_alue_nimi
0,4,4,04 Ammatillinen koulutus
1,11,1,01 Varhaiskasvatus
2,25,6,06 Järjestötoiminta
3,28,2,02 Esi- ja perusopetus
4,29,2,02 Esi- ja perusopetus
5,33,4,04 Ammatillinen koulutus
6,34,4,04 Ammatillinen koulutus
7,35,4,04 Ammatillinen koulutus
8,37,4,04 Ammatillinen koulutus
9,40,1,01 Varhaiskasvatus
10,41,2,02 Esi- ja perusopetus
11,42,2,02 Esi- ja perusopetus
12,43,2,02 Esi- ja perusopetus
13,47,3,03 Toisen asteen koulutus
14,48,4,04 Ammatillinen koulutus
15,50,7,07 Vapaa sivistystyö
16,51,4,04 Ammatillinen koulutus
17,53,4,04 Ammatillinen koulutus
18,56,4,04 Ammatillinen koulutus
19,57,2,02 Esi- ja perusopetus
20,58,2,02 Esi- ja perusopetus
21,59,2,02 Esi- ja perusopetus
22,61,1,01 Varhaiskasvatus
23,62,2,02 Esi- ja perusopetus
24,78,6,06 Järjestötoiminta
25,81,4,04 Ammatillinen koulutus
26,82,2,02 Esi- ja perusopetus
27,85,4,04 Ammatillinen koulutus
28,87,4,04 Ammatillinen koulutus
29,89,1,01 Varhaiskasvatus
30,90,3,03 Toisen asteen koulutus
31,91,3,03 Toisen asteen koulutus
32,92,3,03 Toisen asteen koulutus
33,95,2,02 Esi- ja perusopetus
34,99,5,05 Korkeakoulu
35,100,4,04 Ammatillinen koulutus
36,101,4,04 Ammatillinen koulutus
37,103,4,04 Ammatillinen koulutus
38,106,4,04 Ammatillinen koulutus
39,110,2,02 Esi- ja perusopetus
40,111,2,02 Esi- ja perusopetus
41,113,2,02 Esi- ja perusopetus
42,114,3,03 Toisen asteen koulutus
43,115,2,02 Esi- ja perusopetus
44,119,4,04 Ammatillinen koulutus
45,123,3,03 Toisen asteen koulutus
46,127,1,01 Varhaiskasvatus
47,133,5,05 Korkeakoulu
48,140,2,02 Esi- ja perusopetus
49,143,2,02 Esi- ja perusopetus
50,146,6,06 Järjestötoiminta
51,152,2,02 Esi- ja perusopetus
52,153,3,03 Toisen asteen koulutus
53,158,3,03 Toisen asteen koulutus
54,160,6,06 Järjestötoiminta
55,164,3,03 Toisen asteen koulutus
56,165,5,05 Korkeakoulu
57,176,2,02 Esi- ja perusopetus
58,179,4,04 Ammatillinen koulutus
59,181,3,03 Toisen asteen koulutus
60,234,3,03 Toisen asteen koulutus
61,239,3,03 Toisen asteen koulutus
